 time    O3      O3P     O2      
   0.0000000000000000        1.0000000000000000        0.0000000000000000        209469000.00000000     
   1.0000000000000000       0.99999997062127943        2.9378720532319399E-008   209469000.00000003     
   2.0000000000000000       0.99999994124255975        5.8757440201529589E-008   209469000.00000009     
   3.0000000000000000       0.99999991186384096        8.8136159007630586E-008   209469000.00000012     
   4.0000000000000000       0.99999988248512295        1.1751487695062241E-007   209469000.00000018     
   5.0000000000000000       0.99999985310640593        1.4689359403050507E-007   209469000.00000021     
   6.0000000000000000       0.99999982372768981        1.7627231024727863E-007   209469000.00000024     
   7.0000000000000000       0.99999979434897446        2.0565102560094309E-007   209469000.00000030     
   8.0000000000000000       0.99999976497025989        2.3502974009149847E-007   209469000.00000033     
   9.0000000000000000       0.99999973559154631        2.6440845371894486E-007   209469000.00000039     
